Frame,Sekunde,Aktion,WRIST_Y,SHOULDER_Y,ANKLE_Y,Sichtbarkeit,Fehler
286,11.44,neutral,0.7971310019493103,0.7263650894165039,0.8818069696426392,0.76,False
287,11.48,neutral,0.8037488460540771,0.7298274040222168,0.8819355368614197,0.78,False
288,11.52,neutral,0.8130390048027039,0.7303669452667236,0.8833620548248291,0.8,False
289,11.56,neutral,0.8103713393211365,0.7293585538864136,0.8835940957069397,0.81,False
290,11.6,neutral,0.8103187084197998,0.7283839583396912,0.8840190768241882,0.82,False
291,11.64,neutral,0.810573935508728,0.7269324660301208,0.8842570781707764,0.83,False
292,11.68,neutral,0.8090733885765076,0.7254340648651123,0.8836930990219116,0.84,False
293,11.72,neutral,0.8072077631950378,0.721272349357605,0.8838478922843933,0.85,False
294,11.76,neutral,0.8044907450675964,0.7185527682304382,0.8840348720550537,0.85,False
295,11.8,neutral,0.8025772571563721,0.7145649790763855,0.8831546902656555,0.85,False
296,11.84,neutral,0.7920360565185547,0.7126021385192871,0.8832294344902039,0.85,False
297,11.88,neutral,0.7915337085723877,0.7107730507850647,0.8847997188568115,0.83,False
298,11.92,neutral,0.7908371686935425,0.708568811416626,0.8845120072364807,0.83,False
299,11.96,neutral,0.7898275256156921,0.7073691487312317,0.8840090036392212,0.84,False
300,12.0,neutral,0.786724865436554,0.7050699591636658,0.882085382938385,0.84,False
301,12.04,neutral,0.783688485622406,0.7031295895576477,0.8809459805488586,0.82,False
302,12.08,neutral,0.7835028171539307,0.7006699442863464,0.8782014846801758,0.82,False
303,12.12,neutral,0.7803135514259338,0.6973963975906372,0.8746655583381653,0.82,False
304,12.16,neutral,0.7797480225563049,0.6962486505508423,0.8729255199432373,0.83,False
305,12.2,neutral,0.7788009643554688,0.6939858794212341,0.8720934391021729,0.83,False
306,12.24,neutral,0.7788275480270386,0.6924448609352112,0.8722343444824219,0.83,False
307,12.28,neutral,0.7773876786231995,0.692294180393219,0.8728944659233093,0.84,False
308,12.32,neutral,0.7761135697364807,0.6906416416168213,0.8733149170875549,0.85,False
309,12.36,neutral,0.7756028175354004,0.6900670528411865,0.8727617263793945,0.86,False
310,12.4,neutral,0.7760475277900696,0.6901534795761108,0.8726356625556946,0.87,False
311,12.44,neutral,0.7757703065872192,0.6900796294212341,0.8704946041107178,0.87,False
312,12.48,neutral,0.7758854627609253,0.6903641819953918,0.8693551421165466,0.87,False
313,12.52,neutral,0.776332437992096,0.6902024745941162,0.8692910075187683,0.87,False
314,12.56,neutral,0.775580108165741,0.6905843019485474,0.8694313764572144,0.87,False
